term,estimate,std.error,statistic,p.value
airline_nameAzerbaijan Airlines (Azal),6.2440331426406805,6.803556194809178,0.9177602071405848,0.3588179496005345
airline_nameBiman Bangladesh Airlines,6.112499787032649,6.80908101555158,0.897698202308362,0.369418264825384
airline_nameDelta Airlines,5.952176058010863,4.544392968052787,1.3097846290703363,0.19036866012612047
airline_nameLot-Polish Airlines,5.910800740939085,6.89335410950732,0.8574636740026026,0.3912569479164022
airline_nameSrilankan Airlines,5.891110219295038,8.794290742780477,0.669878946648568,0.5029863460868942
airline_nameKlm,5.61865264036471,4.490116303926023,1.2513378852685684,0.21090847246433642
airline_nameAir Canada,5.598356177001171,4.603945471890825,1.2159909823393162,0.2240837106058422
airline_nameCorendon Airlines,5.587192849218588,4.818474274201359,1.159535681062579,0.24632987278122612
airline_nameWest Jet Airlines,5.579712371637096,5.072045242466021,1.1000912067819506,0.2713803566389715
airline_nameMalaysian Airlines System-Mas,5.429974750754327,8.794772255794532,0.617409364657138,0.5370114493392426
airline_nameSwiss Airlines,5.383044777825559,4.932452263075041,1.0913526357109848,0.2752050945472559
airline_nameAir Mauritius Ltd,5.361706381039935,8.78744737883777,0.6101551622320013,0.541805089381765
airline_nameWideroe Flyveselskap A/S,-5.2482931177344865,6.9737671215955155,-0.7525764807204717,0.451763304869789
airline_nameKlm Cityhopper,5.090333372930701,5.619213687887102,0.9058800137648321,0.3650718701172838
airline_nameAir France,5.055472111854297,5.07466466349089,0.9962179665240403,0.31922432941493756
airline_nameCathay Pacific Airways,4.922573089054321,6.802550677437861,0.7236363714835827,0.46934523759299396
airline_nameEdelweiss Air,4.876233139647037,6.809052941375542,0.7161397013109368,0.47396064545420835
airline_nameKorean Air,4.757320700454395,8.794333411162423,0.5409529611893096,0.5885800347670166
airline_nameEasyjet Uk Ltd,4.689571778887798,3.9477232762487553,1.1879180607978097,0.23495941899750775
airline_nameRyanair,4.582911101329978,3.952729794699164,1.1594293916765885,0.2463731669495796
airline_nameLoganair Ltd,4.493055342603668,4.081294899946036,1.1008896570211275,0.2710327125231435
airline_nameShenzhen Airlines,4.486636360247914,8.794769757305817,0.510148245384237,0.6099850125916154
reporting_airportLondon City,-4.477646420576003,2.709509219795356,-1.6525673313317575,0.09852324516128912
airline_nameWizz Air Malta,4.352455885732324,4.225523988791521,1.030039327022518,0.30307430381616374
airline_nameTransavia France,-4.320465523756704,8.791553206654475,-0.4914337003029761,0.6231555649832676
airline_nameRyanair Uk Ltd,4.304122772631621,3.9898075070330843,1.078779556418317,0.28077244954934005
airline_nameRiyadh Air,-4.1968027554813405,8.79894781280795,-0.47696643334699385,0.6334206499743991
airline_nameAer Lingus,4.191271861214629,4.169913233522881,1.0051220796442575,0.31491886236920025
airline_nameEl Al,4.179294091798487,6.808476297787156,0.6138369157805267,0.539369486669093
airline_nameWizz Air Uk Ltd,4.134080418373935,4.0758265260936914,1.0142925347551712,0.3105247078546275
reporting_airportBirmingham,4.129880899121686,1.62588549667266,2.5400810251234787,0.01113254271459739
airline_nameLufthansa City Airlines Gmbh,3.977313414398214,5.552170094013385,0.716352947955745,0.4738290138307538
airline_nameIberia,3.8313678636351245,8.79785885998463,0.43548867111989764,0.6632389856624116
airline_nameIberia Express,-3.8106243381502503,5.997322520193814,-0.6353875959345777,0.5252239552446868
airline_nameLufthansa,3.8034360980359323,4.5363390591155754,0.838437349693492,0.40185169524950015
airline_nameMiddle East Airlines (Air Liban S A L),3.6440738841250835,8.794332147751382,0.4143661875514714,0.6786354740473853
airline_nameAjet Hava Tasimaciligi Anonim Sirketi,3.5765009202026925,6.823124752995857,0.5241734615261642,0.6001964923928109
reporting_airportSouthend,-3.5201395561122637,2.1690869896896565,-1.622866935648307,0.10472257285111611
airline_nameItalia Traspoto Aereo,3.3287199796731306,6.182791577694209,0.5383846338411642,0.5903513417952349
airline_nameHainan Airlines,-3.312130574427871,5.996432998325372,-0.552350134713896,0.5807494984184238
airline_nameWizz Air,3.2850679395056037,4.2900330209673125,0.7657442083662307,0.4438885572404122
reporting_airportLiverpool (John Lennon),-3.277249448244629,1.7135490789879924,-1.9125506753387798,0.055900410823583324
airline_namePakistan Intl Airlines,-3.2304446298402167,8.803069933843004,-0.36696796164493917,0.7136687119148002
reporting_airportCardiff Wales,-3.225028827014167,2.7551895943919074,-1.170528820803694,0.2418808864004852
airline_nameSas,-3.1976934532436894,4.5403794474681405,-0.7042789022901653,0.48131358500890997
airline_nameAll Nippon Airways,3.1378457674569393,8.794356467205821,0.3568022036811874,0.7212648967261359
